prefix,number_of_sites,backing_prefix
2603:5:2170::/48,8,2603:5:2170::/44
2603:5:2171::/48,8,2603:5:2170::/44
2603:5:2172::/48,8,2603:5:2170::/44
2603:5:2174::/48,8,2603:5:2170::/44
2603:5:2180::/48,8,2603:5:2180::/44
2603:5:2181::/48,8,2603:5:2180::/44
2603:5:2182::/48,8,2603:5:2180::/44
2603:5:2184::/48,8,2603:5:2180::/44
2603:5:2190::/48,8,2603:5:2190::/44
2603:5:2191::/48,8,2603:5:2190::/44
2603:5:2192::/48,8,2603:5:2190::/44
2603:5:2194::/48,8,2603:5:2190::/44
2603:5:21a0::/48,8,2603:5:21a0::/44
2603:5:21a1::/48,8,2603:5:21a0::/44
2603:5:21a2::/48,8,2603:5:21a0::/44
2603:5:21a4::/48,8,2603:5:21a0::/44
2603:5:21b0::/48,8,2603:5:21b0::/44
2603:5:21b1::/48,8,2603:5:21b0::/44
2603:5:21b2::/48,8,2603:5:21b0::/44
2603:5:21b3::/48,8,2603:5:21b0::/44
2603:5:21b4::/48,8,2603:5:21b0::/44
2603:5:21c0::/48,8,2603:5:21c0::/44
2603:5:21c1::/48,8,2603:5:21c0::/44
2603:5:21c2::/48,8,2603:5:21c0::/44
2603:5:21c4::/48,8,2603:5:21c0::/44
2603:5:21d0::/48,8,2603:5:21d0::/44
2603:5:21d1::/48,8,2603:5:21d0::/44
2603:5:21e0::/48,8,2603:5:21e0::/44
2603:5:21e1::/48,8,2603:5:21e0::/44
2603:5:21e2::/48,8,2603:5:21e0::/44
2603:5:21e3::/48,8,2603:5:21e0::/44
2603:5:21f0::/48,8,2603:5:21f0::/44
2603:5:21f1::/48,8,2603:5:21f0::/44
2603:5:21f2::/48,8,2603:5:21f0::/44
2603:5:2200::/48,8,2603:5:2200::/44
2603:5:2210::/48,8,2603:5:2210::/44
2603:5:2211::/48,8,2603:5:2210::/44
2603:5:2220::/48,8,2603:5:2220::/44
2603:5:2221::/48,8,2603:5:2220::/44
2603:5:2222::/48,8,2603:5:2220::/44
2603:5:2223::/48,8,2603:5:2220::/44
2603:5:2224::/48,8,2603:5:2220::/44
2603:5:2225::/48,8,2603:5:2220::/44
2603:5:2230::/48,8,2603:5:2230::/44
2603:5:2231::/48,8,2603:5:2230::/44
2603:5:2232::/48,8,2603:5:2230::/44
2603:5:2233::/48,8,2603:5:2230::/44
2603:5:2234::/48,8,2603:5:2230::/44
2603:5:2240::/48,8,2603:5:2240::/44
2603:5:2241::/48,8,2603:5:2240::/44
2603:5:2242::/48,8,2603:5:2240::/44
2603:5:2243::/48,8,2603:5:2240::/44
2603:5:2250::/48,8,2603:5:2250::/44
2603:5:2251::/48,8,2603:5:2250::/44
2603:5:2252::/48,8,2603:5:2250::/44
2603:5:2253::/48,8,2603:5:2250::/44
2603:5:2254::/48,8,2603:5:2250::/44
2603:5:2260::/48,8,2603:5:2260::/44
2603:5:2261::/48,8,2603:5:2260::/44
2603:5:2262::/48,8,2603:5:2260::/44
2603:5:2264::/48,8,2603:5:2260::/44
2603:5:2270::/48,8,2603:5:2270::/44
2603:5:2271::/48,8,2603:5:2270::/44
2603:5:2272::/48,8,2603:5:2270::/44
2603:5:2274::/48,8,2603:5:2270::/44
2603:5:2280::/48,8,2603:5:2280::/44
2603:5:2281::/48,8,2603:5:2280::/44
2603:5:2282::/48,8,2603:5:2280::/44
